,truth,bluesky,mastodon,truth_response,bluesky_response,mastodon_response,truth_Narrative_Frame,truth_Main_Subject,truth_Stance_toward_main_subject,truth_Topic_Focus,bluesky_Narrative_Frame,bluesky_Main_Subject,bluesky_Stance_toward_main_subject,bluesky_Topic_Focus,mastodon_Narrative_Frame,mastodon_Main_Subject,mastodon_Stance_toward_main_subject,mastodon_Topic_Focus,mastodon_Stance_toward_Main_Subject,truth_Explanation,bluesky_Stance_toward_Main_Subject
194,"['‘Lawfare Against President Trump’', '‘Lawfare Against President Trump’', '‘Radical Lawfare’ Against Trump', '‘Lawfare Against President Trump’', '‘Lawfare Against President Trump’', '‘Lawfare Against President Trump’']","['Trump moans about lawfare, but the real legal shenanigans are being waged on his behalf, by Cannon and SCOTUS.\n\nwww.theatlantic.com/ideas/archiv...']","['""lawfare"" — political warfare involving the courts — is one of the top issues animating the Trump faithful.']","```json
{
  ""Narrative Frame"": ""Persecution/Weaponization of Legal System"",
  ""Main Subject"": ""Donald Trump"",
  ""Stance toward main subject"": ""Supportive (framing events as unjust persecution)"",
  ""Topic Focus"": ""Legal""
}
```","```json
{
  ""Narrative Frame"": ""Legal Justice & Media Bias"",
  ""Main Subject"": ""Donald Trump"",
  ""Stance toward main subject"": ""Critical"",
  ""Topic Focus"": ""Legal""
}
```","```json
{
  ""Narrative Frame"": ""Media Bias & Legal Justice (framing legal proceedings as politically motivated)"",
  ""Main Subject"": ""Trump"",
  ""Stance toward main subject"": ""Supportive (implicitly, by highlighting the concerns of his supporters and using scare quotes around 'lawfare')"",
  ""Topic Focus"": ""Institutional (specifically, the justice system and its perceived politicization)""
}
```",Persecution/Weaponization of Legal System,Donald Trump,Supportive (framing events as unjust persecution),Legal,Legal Justice & Media Bias,Donald Trump,Critical,Legal,Media Bias & Legal Justice (framing legal proceedings as politically motivated),Trump,"Supportive (implicitly, by highlighting the concerns of his supporters and using scare quotes around 'lawfare')","Institutional (specifically, the justice system and its perceived politicization)",,,
195,"['President Trump: ""Just this week, 12-year-old Jocelyn Nungaray was found strangled to death and dumped in a creek in Houston, allegedly murdered by two recent illegal border crossers from Venezuela. These monsters should never have been in our country.""', 'Another casualty of the Biden Administration Open Border!! A child raped and killed needlessly! Police: Houston Girl, 12, Raped, Strangled, Tossed in Creek via @ breitbartnews # PHPnews # Maga4TheFelon # TWGRP # RPN # XTeam # TheHashTagChat']","['Death of 12-year-old girl in Texas fuels Trump-Biden debate on immigration - NBC News http://dlvr.it/T8cNwG', 'Killing of Texas Girl Becomes a New Immigration Flashpoint: The killing of 12-year-old Jocelyn Nungaray in Houston has become the latest crime seized on by Republicans to attack President Biden over his immigration policies.', 'Houston girl allegedly killed by illegal immigrants to have funeral hours before CNN Presidential Debate: The funeral for murdered 12-year-old Houston girl Jocelyn Nungaray is set to be held Thursday afternoon just hours ahead of the CNN Presidential Debate, where immigration and America’s border…']","['Death of 12-year-old girl in Texas fuels Trump-Biden debate on immigration', ""Murder of Houston girl part of Trump's attack on Biden's immigration policies during debate # Immigration # National # News # Politics # Texas # DonaldTrump # ImmigrationPolicies # JocelynNungaray # JoeBiden # PresidentialDebate""]","```json
{
  ""Narrative Frame"": ""Persecution (framing victims of crime as casualties of border policies and implying systemic failure to protect citizens), Moral Panic (exploiting fear and outrage regarding the crime), and Blame/Responsibility (assigning blame to a political administration for the incident)."",
  ""Main Subject"": ""Joe Biden (indirectly, through criticism of his administration's border policies) and Donald Trump (directly, through quoted statement and association with #Maga4TheFelon, suggesting a supportive stance and rallying cry)"",
  ""Stance toward main subject"": {
    ""Joe Biden"": ""Highly Critical"",
    ""Donald Trump"": ""Supportive""
  },
  ""Topic Focus"": ""Legal/Institutional (focus on border policies and immigration law), Cultural (appealing to cultural anxieties regarding immigration and crime), and Personal Attack (through the charged language and implied moral condemnation of the Biden Administration).""
}
","```json
{
  ""Narrative Frame"": ""Political Exploitation/Moral Outrage"",
  ""Main Subject"": ""Biden (and implicitly Trump)"",
  ""Stance toward main subject"": ""Critical (Biden, through association and framing), implicitly supportive (Trump, through the framing of Republican attacks)"",
  ""Topic Focus"": ""Legal/Political - specifically, the use of a tragic event to advance a political agenda related to immigration policy.""
}
```","```json
{
  ""Narrative Frame"": ""Political Accountability & Policy Consequences"",
  ""Main Subject"": ""Both Donald Trump and Joe Biden"",
  ""Stance toward main subject"": ""Neutral (reporting on their stances, not explicitly taking a side)"",
  ""Topic Focus"": ""Institutional & Political (Focuses on the use of a tragic event to frame a political debate and immigration policies)""
}
```","Persecution (framing victims of crime as casualties of border policies and implying systemic failure to protect citizens), Moral Panic (exploiting fear and outrage regarding the crime), and Blame/Responsibility (assigning blame to a political administration for the incident).","Joe Biden (indirectly, through criticism of his administration's border policies) and Donald Trump (directly, through quoted statement and association with #Maga4TheFelon, suggesting a supportive stance and rallying cry)","{'Joe Biden': 'Highly Critical', 'Donald Trump': 'Supportive'}","Legal/Institutional (focus on border policies and immigration law), Cultural (appealing to cultural anxieties regarding immigration and crime), and Personal Attack (through the charged language and implied moral condemnation of the Biden Administration).",Political Exploitation/Moral Outrage,Biden (and implicitly Trump),"Critical (Biden, through association and framing), implicitly supportive (Trump, through the framing of Republican attacks)","Legal/Political - specifically, the use of a tragic event to advance a political agenda related to immigration policy.",Political Accountability & Policy Consequences,Both Donald Trump and Joe Biden,"Neutral (reporting on their stances, not explicitly taking a side)",Institutional & Political (Focuses on the use of a tragic event to frame a political debate and immigration policies),,,
196,"['Trump and McCarthy sought revenge against top House conservative, but GOP primary too close to call']","['Trump and McCarthy sought revenge against top House conservative, but GOP primary too close to call - Fox News http://dlvr.it/T8W50D', ""Trump and McCarthy wanted revenge. It didn't quite go as planned. (Madison Fernandez/Politico)\n\nMain Link | memeorandum Permalink""]",['Trump and McCarthy wanted revenge. It didn’t quite go as planned.'],"```json
{
  ""Narrative Frame"": ""Political Conflict/Power Struggle"",
  ""Main Subject"": ""Donald Trump"",
  ""Stance toward main subject"": ""Critical (implies negative action -'sought revenge')"",
  ""Topic Focus"": ""Institutional (focuses on actions within the House GOP and primaries)""
}
```","```json
{
  ""Narrative Frame"": ""Political Power Struggle/Revenge"",
  ""Main Subject"": ""Donald Trump"",
  ""Stance toward main subject"": ""Critical (Implies a failed attempt at retribution, suggesting potentially negative consequences for Trump's actions)"",
  ""Topic Focus"": ""Institutional/Political""
}
```","```json
{
  ""Narrative Frame"": ""Accountability/Revenge"",
  ""Main Subject"": ""Donald Trump"",
  ""Stance toward main subject"": ""Critical"",
  ""Topic Focus"": ""Political/Institutional""
}
```",Political Conflict/Power Struggle,Donald Trump,Critical (implies negative action -'sought revenge'),Institutional (focuses on actions within the House GOP and primaries),Political Power Struggle/Revenge,Donald Trump,"Critical (Implies a failed attempt at retribution, suggesting potentially negative consequences for Trump's actions)",Institutional/Political,Accountability/Revenge,Donald Trump,Critical,Political/Institutional,,,
197,"['Fox News Tries To SABOTAGE Trump and FAILS MISERABLY!!!', 'For years now, Fox “News” has kept their sights on one goal and one goal only: misinforming voters. And we have to give it to them, they achieve this goal every day. Their coverage of pretty much every notable (and un-notable) event always carries some form of misinformation with it. Ten years ago, they were more cautious. They at least tried to disguise the fact that their programming is a complete mockery of journalism and an utter waste of time. Today, however, they’re blatant. They waste hours promoting conspiracy theories, dangerous rhetoric, and has-been commentators turned Trump bootlickers. See more pro-Biden, anti-Trump, pro-Democracy, anti-MAGA advertisements here: # resistanceads # TheLincolnProject # VoteBlue2024 # VoteBlue # FoxNews # BoycottFox # fauxnews # misinformation # FauxFoxNews # FuckFoxNews', 'Fox News Tries To SABOTAGE Trump and FAILS MISERABLY!!!', 'For years now, Fox “News” has kept their sights on one goal and one goal only: misinforming voters. And we have to give it to them, they achieve this goal every day. Their coverage of pretty much every notable (and un-notable) event always carries some form of misinformation with it. Ten years ago, they were more cautious. They at least tried to disguise the fact that their programming is a complete mockery of journalism and an utter waste of time. Today, however, they’re blatant. They waste hours promoting conspiracy theories, dangerous rhetoric, and has-been commentators turned Trump bootlickers. See more pro-Biden, anti-Trump, pro-Democracy, anti-MAGA advertisements here: # resistanceads # TheLincolnProject # VoteBlue2024 # VoteBlue # FoxNews # BoycottFox # fauxnews # misinformation # FauxFoxNews # FuckFoxNews']","['Even when Fox News tries to dig Trump out of trouble, he totally falls apart and screws things up even worse.\nwww.newscorpse.com/ncWP/?p=61844', 'Actually, Fox Spews (News) is the enemy of the people that has been ignored as such. They are the voice of tRump & his GOP, both of which are enemies to democracy and thus America. Fox filters the news and spouts lies that injure the nation & the Constitution. www.foxnews.com/opinion/amer...', 'Fox News has nothing.\nBecause of defamation,\nover 750M dollars less than nothing.\n\nTrump Makes First Visit to Capitol Hill Since Jan. 6, Asks GOP to Overtu... youtu.be/dtevENT0R2M?... via @YouTube', 'Right-wing propaganda outlet Fox ""News"" is gearing up for another Presidential election cycle of pumping out election lies with the intent to get Donald Trump elected again. \n\nwww.mediamatters.org/fox-news/fox...']","[""America, Fox News thinks you're stupid. They continue to manufacture and spread lies, knowingly misleading the public and sowing distrust in our democratic institutions. It’s time to # DropFox . # FoxNews # EvilMurdochs # DeportTheMurdochs # RupertMurdoch""]","```json
{
  ""Narrative Frame"": ""Media Bias"",
  ""Main Subject"": ""Fox News"",
  ""Stance toward main subject"": ""Critical"",
  ""Topic Focus"": ""Institutional""
}
```","```json
{
  ""Narrative Frame"": ""Media Bias & Political Corruption"",
  ""Main Subject"": ""Donald Trump"",
  ""Stance toward main subject"": ""Critical"",
  ""Topic Focus"": ""Institutional (Media) & Political""
}
```","```json
{
  ""Narrative Frame"": ""Media Bias"",
  ""Main Subject"": ""Fox News (and by extension, Rupert Murdoch)"",
  ""Stance toward main subject"": ""Critical"",
  ""Topic Focus"": ""Institutional""
}
```",Media Bias,Fox News,Critical,Institutional,Media Bias & Political Corruption,Donald Trump,Critical,Institutional (Media) & Political,Media Bias,"Fox News (and by extension, Rupert Murdoch)",Critical,Institutional,,,
198,['Are we better off today than we were 4 years ago? Of course not! Trump 2024!'],"[""Are you better off four years ago than today? Apparently, some have forgotten June 2020 and Trump's pandemic reign of terror, lockdowns, high unemployment, death and business closures, which inflation follows all of this. Biden dealt with the Trump ... 1""]",['Are you better off today than you were 4 years ago? # VoteBlue # VoteOutEveryRepublican'],"```json
{
  ""Narrative Frame"": ""Economic/National Decline"",
  ""Main Subject"": ""Donald Trump"",
  ""Stance toward main subject"": ""Supportive"",
  ""Topic Focus"": ""Political/Institutional (Implicitly critiques current administration's performance and advocates for a return to a previous state)""
}
```","```json
{
  ""Narrative Frame"": ""Economic and Crisis Management"",
  ""Main Subject"": ""Joe Biden"",
  ""Stance toward main subject"": ""Supportive"",
  ""Topic Focus"": ""Economic/Institutional""
}
```","```json
{
  ""Narrative Frame"": ""Economic Performance/Accountability"",
  ""Main Subject"": ""Republicans (as a collective)"",
  ""Stance toward main subject"": ""Critical"",
  ""Topic Focus"": ""Political/Institutional (focusing on electoral accountability based on perceived economic outcomes)""
}
```",Economic/National Decline,Donald Trump,Supportive,Political/Institutional (Implicitly critiques current administration's performance and advocates for a return to a previous state),Economic and Crisis Management,Joe Biden,Supportive,Economic/Institutional,Economic Performance/Accountability,Republicans (as a collective),Critical,Political/Institutional (focusing on electoral accountability based on perceived economic outcomes),,,
199,"['Democratic lawmaker leads Kari Lake by three points in Arizona Senate race: Poll', 'President Trump: Kari Lake Is Going To Be Your Next Senator', 'Democratic lawmaker leads Kari Lake by three points in Arizona Senate race: Poll', ""Don't vote for that clown, Arizona! 🤡 ** WATCH: 'Not In My County' – Kari Lake's Senate Primary Opponent Sheriff Mark Lamb Ignores Fraud in His County, Says He Has 'Seen No Evidence' That Elections Were Rigged Against Donald Trump and Kari Lake""]","['@NBCNews: On the eve of the presidential debate, GOP Senate candidate Kari Lake decided to skip out on her own.\n\nThe frontrunner for the Republican Senate nomination in Arizona held a town hall instead, leaving her primary opponent, Mark Lamb, alone on the stage. https://t.co/FDxxzTxpUu', 'Failed Arizona gubernatorial candidate Kari Lake is taking heat from a local columnist for ducking out of a debate with Pinal County Sheriff Mark Lamb, who is running against Lake to be the Republican nominee for the US Senate in the Grand Canyon State.\n\nwww.rawstory.com/kari-lake-26...', 'Wed., June 12, 2024   Bradley P. Moss   @BradMossEsq\nKari Lake is a pathetic loser who does nothing but lose over and over.\nHobbs remains Governor of Arizona and Lake will continue on as a GOP candidate for US Senate.  \npbs.twimg.com/media/GP1ceV...', 'Kari Lake skips out on Arizona Senate GOP primary debate as she looks ahead to November (Alex Tabet/NBC News)\n\nMain Link | memeorandum Permalink', 'Kari Lake is a whacked piece of shit.\n\nKari Lake skips out on Arizona Senate GOP primary debate as she looks ahead to November https://www.nbcnews.com/politics/2024-election/kari-lake-skips-arizona-senate-gop-primary-debate-rcna158055\n\n#Arizona #KariLake #NeverKariLake', ""Kari Lake's election challenge lawyer suspended from practicing in Arizona: report\n\nA controversial attorney who helped pro-Trump Arizona Senate candidate Kari Lake with her litigation challenging her 2022 gubernatorial election loss...(more)\n\nwww.rawstory.com/kari-lake-s-..."", 'Kari Lake, a Republican U.S. Senate hopeful, and Mark Finchem, a former state representative who is now running for Arizona Senate, have been shot down at every turn since they each lost elections to Democratic candidates and filed the suit in 2022.\n\nVia @azmirror.com @statesnewsroom.com', '@NBCNews: On the eve of the presidential debate, GOP Senate candidate Kari Lake decided to skip out on her own.\n\nThe frontrunner for the Republican Senate nomination in Arizona held a town hall instead, leaving her primary opponent, Mark Lamb, alone on the stage. https://t.co/4y9RfRtfYp', 'Kari Lake No Show For #Arizona Senate GOP Primary Debate, Instead Hosts Town Hall: OAN’s\xa0James Meyers2:29 PM – Thursday, June 27, 2024 On the day before the presidential debate, GOP Senate candidate Kari Lake skipped out…']","['Kari Lake skips out on Arizona Senate GOP primary debate as she looks ahead to November', ""The controversial attorney who helped pro-Trump Arizona Senate candidate # Kari # Lake with her litigation challenging her 2022 gubernatorial election loss has been 💥suspended from practicing law for two months by the state bar, 💥reported KJZZ's Wayne Schutsky. Lake is currently the leading GOP primary candidate for the Senate seat being vacated by independent Sen. Kyrsten Sinema. Her likely Democratic opponent is Rep. Ruben Gallego, a Phoenix-area lawmaker and former Marine.""]","```json
{
  ""Narrative Frame"": ""Election Integrity/Fraud (specifically, questioning the validity of election processes and alleging a lack of investigation)"",
  ""Main Subject"": ""Kari Lake"",
  ""Stance toward main subject"": ""Critical"",
  ""Topic Focus"": ""Legal/Institutional (focusing on election procedures, Sheriff Lamb's actions regarding alleged fraud, and polling data related to the Senate race)""
}
```","```json
{
  ""Narrative Frame"": ""Political Strategy/Performance & Personal Character"",
  ""Main Subject"": ""Kari Lake"",
  ""Stance toward main subject"": ""Critical"",
  ""Topic Focus"": ""Political/Institutional & Personal Attack""
}
```","```json
{
  ""Narrative Frame"": ""Legal Justice/Accountability"",
  ""Main Subject"": ""Kari Lake"",
  ""Stance toward main subject"": ""Critical"",
  ""Topic Focus"": ""Legal""
}
```","Election Integrity/Fraud (specifically, questioning the validity of election processes and alleging a lack of investigation)",Kari Lake,Critical,"Legal/Institutional (focusing on election procedures, Sheriff Lamb's actions regarding alleged fraud, and polling data related to the Senate race)",Political Strategy/Performance & Personal Character,Kari Lake,Critical,Political/Institutional & Personal Attack,Legal Justice/Accountability,Kari Lake,Critical,Legal,,,
200,"[""🔴 Trump's Gloves Off Stance on ‘Transgender Insanity’ in Schools"", '🇺🇸 Donald Trump says he will sign an executive order to cut federal funding for schools pushing ""transgender insanity"" onto the lives of children when elected president.', ""🔴 Trump's Gloves Off Stance on ‘Transgender Insanity’ in Schools""]","['Former president Donald Trump announced in a campaign rally that his day one priorities include targeting schools ""promoting transgender insanity"" with federal bans.\n\n#transgender #trans #LGBTQ #LGBTQIA', 'At a propaganda rally in Racine, WI Wednesday, Donald Trump pushed his insane ""parental rights"" in schools agenda by suggesting that federal funding of schools be cut if they don\'t toe Trump\'s anti-student inclusion line of banning support for trans people in schools.', 'If reelected, Trump promises to end “transgender insanity” in schools']","['Trump In Wisconsin Announces Funding Ban For Trans Supportive Schools On Day 1 Former president Donald Trump announced in a campaign rally that his day one priorities include targeting schools ""promoting transgender insanity"" with federal bans.', '# Trump In # Wisconsin Announces # Funding # Ban For # Trans # Supportive # Schools On Day 1 The Former president and # convicted # felon # announced in a # campaign # rally that his day one priorities include targeting # schools ""promoting # transgender insanity"" with # federal # bans # Women # Transgender # LGBTQ # LGBTQIA # Education # Conservatives # Extremism # Fascism # Religion # RepublicanParty # Hate # Bigotry # Violence # Genocide # Discrimination # Transphobia # ThePartyOfHate # EmptyThePews', 'Former president Donald Trump announced in a campaign rally that his day one priorities include targeting schools ""promoting transgender insanity"" with federal bans. # transgender # trans # LGBTQ # LGBTQIA']","```json
{
  ""Narrative Frame"": ""Cultural/Moral Panic"",
  ""Main Subject"": ""Donald Trump"",
  ""Stance toward main subject"": ""Supportive"",
  ""Topic Focus"": ""Cultural/Institutional""
}
```","```json
{
  ""Narrative Frame"": ""Culture Wars / Moral Panic"",
  ""Main Subject"": ""Donald Trump"",
  ""Stance toward main subject"": ""Critical"",
  ""Topic Focus"": ""Institutional / Cultural""
}
```","```json
{
  ""Narrative Frame"": ""Culture War/Moral Panic & Political Action"",
  ""Main Subject"": ""Donald Trump"",
  ""Stance toward main subject"": ""Critical"",
  ""Topic Focus"": ""Institutional & Legal (with strong cultural and personal/moral undertones)""
}
```",Cultural/Moral Panic,Donald Trump,Supportive,Cultural/Institutional,Culture Wars / Moral Panic,Donald Trump,Critical,Institutional / Cultural,Culture War/Moral Panic & Political Action,Donald Trump,Critical,Institutional & Legal (with strong cultural and personal/moral undertones),,,
201,"['NBC News: Ex-Intel Officials Warn That Trump Could Weaponize US Spy Services', 'CHILLING: “The Department of Homeland Security sought to set up an intelligence unit dedicated to spying on Trump supporters as potential ""Domestic Terrorists.""']","[""@NBCNews: If Trump wins, he could turn America’s spy services into weapons of “retribution” against his political opponents, ex-intel officers warn.\n\n“I haven’t talked to a single senior person who said, ‘Don’t worry,'” a former national security official says. https://t.co/Wtaj0J8J3q"", 'If Trump wins, he could weaponize U.S. spy services against his domestic political enemies, ex intel officers warn\n\nA former national security official who served under Trump said, “I haven’t talked to a single senior person who said, ‘Don’t worry.’”\n\nwww.nbcnews.com/politics/nat...', ""Intel officials 'very concerned' about Trump's intentions for spy agencies\n\nIntelligence and national security officials are deeply alarmed about Donald Trump's intentions for a potential second term.\n\n🚨Does Putin want Trump to make a KGB or Gestapo? - EB\n\nwww.rawstory.com/donald-trump..."", '👇🇺🇸 ""If Trump wins, he could weaponize America\'s spy services, former intel officers warn"" #Trump #AmericanSpyServices #AmericanIntel']","[""Intel officials 'very concerned' about Trump's intentions for spy agencies - Raw Story""]","```json
{
  ""Narrative Frame"": ""Potential Abuse of Power/Government Overreach"",
  ""Main Subject"": ""Donald Trump"",
  ""Stance toward main subject"": ""Critical (implies potential for misuse of power)"",
  ""Topic Focus"": ""Institutional (specifically concerning the intelligence community and Department of Homeland Security)""
}
```","```json
{
  ""Narrative Frame"": ""Potential Abuse of Power/Threat to Democracy"",
  ""Main Subject"": ""Donald Trump"",
  ""Stance toward main subject"": ""Critical"",
  ""Topic Focus"": ""Institutional (Intelligence Agencies), Political""
}
```","```json
{
  ""Narrative Frame"": ""Media Bias/Potential Abuse of Power"",
  ""Main Subject"": ""Trump"",
  ""Stance toward main subject"": ""Critical"",
  ""Topic Focus"": ""Institutional""
}
```",Potential Abuse of Power/Government Overreach,Donald Trump,Critical (implies potential for misuse of power),Institutional (specifically concerning the intelligence community and Department of Homeland Security),Potential Abuse of Power/Threat to Democracy,Donald Trump,Critical,"Institutional (Intelligence Agencies), Political",Media Bias/Potential Abuse of Power,Trump,Critical,Institutional,,,
202,"['Congresswoman Jackie Speier, Jonestown Survivor: Trump Has ""All the Trappings"" of Being the Next Jim Jones']","['Congresswoman Jackie Speier, Jonestown Survivor: Trump Has “All the Trappings” of Being the Next Jim Jones\n\nwww.hollywoodreporter.com/news/general...']","['Congresswoman Jackie Speier, Jonestown Survivor: Trump Has “All the Trappings” of Being the Next Jim Jones # GeneralNews # News # CultMassacre # Donaldtrump # Election2024 # Hulu # NationalGeographic']","```json
{
  ""Narrative Frame"": ""Persecution/Authoritarianism (framed through historical analogy)"",
  ""Main Subject"": ""Donald Trump"",
  ""Stance toward main subject"": ""Critical"",
  ""Topic Focus"": ""Political/Institutional (using analogy to critique leadership style and potential for control)""
}
```","```json
{
  ""Narrative Frame"": ""Persecution/Authoritarianism (framed through historical analogy)"",
  ""Main Subject"": ""Donald Trump"",
  ""Stance toward main subject"": ""Highly Critical"",
  ""Topic Focus"": ""Institutional/Political - Framing Trump's potential leadership style as dangerous and akin to a cult leader, implying a threat to democratic institutions.""
}
```","```json
{
  ""Narrative Frame"": ""Persecution/Cult Dynamics & Authoritarianism"",
  ""Main Subject"": ""Donald Trump"",
  ""Stance toward main subject"": ""Critical"",
  ""Topic Focus"": ""Institutional/Political & Cultural (drawing parallels to a historical cult leader)""
}
```",Persecution/Authoritarianism (framed through historical analogy),Donald Trump,Critical,Political/Institutional (using analogy to critique leadership style and potential for control),Persecution/Authoritarianism (framed through historical analogy),Donald Trump,Highly Critical,"Institutional/Political - Framing Trump's potential leadership style as dangerous and akin to a cult leader, implying a threat to democratic institutions.",Persecution/Cult Dynamics & Authoritarianism,Donald Trump,Critical,Institutional/Political & Cultural (drawing parallels to a historical cult leader),,,
203,"['GOP primary winner emerges in battle including Navy Seal, Green Beret, Marine and Trump official']","['GOP primary winner emerges in battle including Navy Seal, Green Beret, Marine and Trump official - Fox News']","['GOP primary winner emerges in battle including Navy Seal, Green Beret, Marine and Trump official']","```json
{
  ""Narrative Frame"": ""Political Competition/Establishment vs. Outsiders"",
  ""Main Subject"": ""Donald Trump (indirectly, as a point of comparison/contrast)"",
  ""Stance toward main subject"": ""Neutral (primarily descriptive, though implicitly positions the winner as potentially a contrast to Trump's style)"",
  ""Topic Focus"": ""Institutional/Political""
}
```","```json
{
  ""Narrative Frame"": ""Political Competition/Establishment vs. Outsiders"",
  ""Main Subject"": ""Donald Trump"",
  ""Stance toward main subject"": ""Indirectly Critical/Marginalizing"",
  ""Topic Focus"": ""Institutional/Political""
}
```
","```json
{
  ""Narrative Frame"": ""Political Competition/Establishment vs. Outsiders"",
  ""Main Subject"": ""Donald Trump (indirectly, as a point of comparison/context)"",
  ""Stance toward main subject"": ""Neutral (the post doesn't explicitly praise or criticize Trump, but uses him as a benchmark)"",
  ""Topic Focus"": ""Institutional (focus on the Republican primary process and the backgrounds of candidates within the political system)""
}
```",Political Competition/Establishment vs. Outsiders,"Donald Trump (indirectly, as a point of comparison/contrast)","Neutral (primarily descriptive, though implicitly positions the winner as potentially a contrast to Trump's style)",Institutional/Political,Political Competition/Establishment vs. Outsiders,Donald Trump,Indirectly Critical/Marginalizing,Institutional/Political,Political Competition/Establishment vs. Outsiders,"Donald Trump (indirectly, as a point of comparison/context)","Neutral (the post doesn't explicitly praise or criticize Trump, but uses him as a benchmark)",Institutional (focus on the Republican primary process and the backgrounds of candidates within the political system),,,
204,"['I just signed up to be a Trump Force 47 Captain today. What are you doing to save America?', 'Keep your eyes out for and join TRUMP FORCE 47!!', 'Become a # TrumpForce47 Captain! Go to # TRUMP2024']",['thinking of becoming a trump  force 47 captain should i do it'],['YOU TOO!!!! Can become a TRUMP FORCE 47 CAPTAIN ! ! !'],"```json
{
  ""Narrative Frame"": ""Patriotism/Activism & Mobilization"",
  ""Main Subject"": ""Donald Trump"",
  ""Stance toward main subject"": ""Supportive"",
  ""Topic Focus"": ""Institutional (political mobilization/grassroots organizing)""
}
```","```json
{
  ""Narrative Frame"": ""Grassroots Activism/Political Mobilization"",
  ""Main Subject"": ""Donald Trump"",
  ""Stance toward main subject"": ""Supportive"",
  ""Topic Focus"": ""Political/Institutional (focus on participating in a campaign structure)""
}
```","```json
{
  ""Narrative Frame"": ""Mobilization/Activism"",
  ""Main Subject"": ""Trump"",
  ""Stance toward main subject"": ""Supportive"",
  ""Topic Focus"": ""Institutional (encouraging participation in a specific, potentially organized effort related to Trump's political movement)""
}
```",Patriotism/Activism & Mobilization,Donald Trump,Supportive,Institutional (political mobilization/grassroots organizing),Grassroots Activism/Political Mobilization,Donald Trump,Supportive,Political/Institutional (focus on participating in a campaign structure),Mobilization/Activism,Trump,Supportive,"Institutional (encouraging participation in a specific, potentially organized effort related to Trump's political movement)",,,
205,"[""Remember when Trump caused Herman Cain to die from COVID-19 after he attended Trump's Tulsa, Oklahoma rally? I know the # MAGAcult is “dying” for four more years of Trump chaos, lies, crimes, sexual abuse, bullying, adultery, et al! # ConvictedFelonTrump # trumpisarapist""]","['#Trump killed Herman Cain with a rally', '#FourYearsAgoToday, the Trump campaign asked rallygoers to promise not to sue if they caught COVID at an upcoming Tulsa rally. (Former GOP candidate Herman Cain died from COVID several weeks after attending.) twitter.com/KellyO/statu...', 'Remember when Trump killed Herman Cain?']","['Herman Cain attended the # Trump rally in Tulsa, Oklahoma, OTD in 2020, insisting as always that SARS-CoV-2 or # COVID19 was of no concern; he was hospitalized July 1 and died July 20 # PublicHealth # DarwinAward', 'Herman Cain attended the # Trump rally in Tulsa, Oklahoma, OTD in 2020, insisting as always that SARS-CoV-2 or # COVID19 was of no concern; he was hospitalized July 1 and died July 20 # PublicHealth # DarwinAward', 'Herman Cain attended the # Trump rally in Tulsa, Oklahoma, OTD in 2020, insisting as always that SARS-CoV-2 or # COVID19 was of no concern; he was hospitalized July 1 and died July 20 # PublicHealth # DarwinAward', ""Trump's Tulsa rally in 2020 led to mass death from Covid. It wasn't just Herman Cain. Political pressure was put on public health officials to allow the rallies, then, after the outbreaks Trump's campaign staff broke public health laws, covered up their actions & blocked investigations into the laws they broke. Trump, OR HIS CAMPAIGN, could have been held responsible for their horrific actions. Instead their lawbreaking was covered up by the WH using HIPAA Privacy Rules"", 'Herman Cain attended the # Trump rally in Tulsa, Oklahoma, OTD in 2020, insisting as always that SARS-CoV-2 or # COVID19 was of no concern; he was hospitalized July 1 and died July 20 # PublicHealth # DarwinAward']","```json
{
  ""Narrative Frame"": ""Accountability/Blame & Moral Condemnation"",
  ""Main Subject"": ""Donald Trump"",
  ""Stance toward main subject"": ""Strongly Critical"",
  ""Topic Focus"": ""Legal & Moral (with elements of personal attack)""
}
```","```json
{
  ""Narrative Frame"": ""Accountability/Responsibility & Blame"",
  ""Main Subject"": ""Donald Trump"",
  ""Stance toward main subject"": ""Highly Critical"",
  ""Topic Focus"": ""Legal/Accountability & Public Health (implying negligence and potential legal repercussions)""
}
```","```json
{
  ""Narrative Frame"": ""Public Health Crisis & Accountability"",
  ""Main Subject"": ""Donald Trump"",
  ""Stance toward main subject"": ""Critical"",
  ""Topic Focus"": ""Institutional & Legal (specifically, failures in public health response and potential legal accountability for political actions related to COVID-19 outbreaks)""
}
```",Accountability/Blame & Moral Condemnation,Donald Trump,Strongly Critical,Legal & Moral (with elements of personal attack),Accountability/Responsibility & Blame,Donald Trump,Highly Critical,Legal/Accountability & Public Health (implying negligence and potential legal repercussions),Public Health Crisis & Accountability,Donald Trump,Critical,"Institutional & Legal (specifically, failures in public health response and potential legal accountability for political actions related to COVID-19 outbreaks)",,,
