,response
117,"truth_Narrative_Frame                     Legal Justice & Persecution (framed as unfair)
truth_Main_Subject                                                                 Trump
truth_Stance_toward_main_subject       Supportive (despite acknowledging a legal setb...
truth_Topic_Focus                                                                  Legal
bluesky_Narrative_Frame                                                    Legal Justice
bluesky_Main_Subject                                                               Trump
bluesky_Stance_toward_main_subject                                              Critical
bluesky_Topic_Focus                                                                Legal
mastodon_Narrative_Frame                                    Legal Justice/Accountability
mastodon_Main_Subject                                                       Donald Trump
mastodon_Stance_toward_main_subject                                             Critical
mastodon_Topic_Focus                                                               Legal
dtype: object"
118,"truth_Narrative_Frame                  Economic Revival/National Renewal (framed as '...
truth_Main_Subject                                                          Javier Milei
truth_Stance_toward_main_subject                                              Supportive
truth_Topic_Focus                      Institutional (economic policy, government siz...
bluesky_Narrative_Frame                 Populism/Comparison to Western Political Figures
bluesky_Main_Subject                                                        Javier Milei
bluesky_Stance_toward_main_subject     Intrigued/Slightly Critical (due to the 'crazi...
bluesky_Topic_Focus                    Political/Cultural (comparing Milei to Trump a...
mastodon_Narrative_Frame                            Institutional Impact/Policy Critique
mastodon_Main_Subject                                                       Javier Milei
mastodon_Stance_toward_main_subject                                             Critical
mastodon_Topic_Focus                   Institutional (specifically, research funding ...
dtype: object"
119,"truth_Narrative_Frame                  Legal Justice/Accountability & Political Spect...
truth_Main_Subject                                                          Donald Trump
truth_Stance_toward_main_subject       Critical (through rhetorical question implying...
truth_Topic_Focus                      Legal (implying consequences for actions taken...
bluesky_Narrative_Frame                                                    Legal Justice
bluesky_Main_Subject                                                        Donald Trump
bluesky_Stance_toward_main_subject                                              Critical
bluesky_Topic_Focus                                                                Legal
mastodon_Narrative_Frame                                                   Legal Justice
mastodon_Main_Subject                                                              Trump
mastodon_Stance_toward_main_subject                                             Critical
mastodon_Topic_Focus                                                               Legal
dtype: object"
120,"truth_Narrative_Frame                                        Media Bias / Disinformation
truth_Main_Subject                                                          Donald Trump
truth_Stance_toward_main_subject                                              Supportive
truth_Topic_Focus                      Legal/Institutional (specifically questioning ...
bluesky_Narrative_Frame                Media Bias/Celebrity Influence & Political Com...
bluesky_Main_Subject                                                        Donald Trump
bluesky_Stance_toward_main_subject                                              Critical
bluesky_Topic_Focus                                 Political Commentary/Personal Attack
mastodon_Narrative_Frame                              Media Bias/Character Assassination
mastodon_Main_Subject                                                              Trump
mastodon_Stance_toward_main_subject                                  Indirectly Critical
mastodon_Topic_Focus                                                   Cultural/Personal
dtype: object"
121,"truth_Narrative_Frame                                   Celebration/Positive Association
truth_Main_Subject                                                      Donald Trump Jr.
truth_Stance_toward_main_subject                                              Supportive
truth_Topic_Focus                      Institutional (International Relations/Diploma...
bluesky_Narrative_Frame                Systemic Inequality & Authoritarianism (with e...
bluesky_Main_Subject                             Nayib Bukele (President of El Salvador)
bluesky_Stance_toward_main_subject                                              Critical
bluesky_Topic_Focus                    Institutional (specifically, government power,...
mastodon_Narrative_Frame                    International Relations / Political Alliance
mastodon_Main_Subject                                                   Donald Trump Jr.
mastodon_Stance_toward_main_subject                                              Neutral
mastodon_Topic_Focus                   Institutional (specifically, international rel...
dtype: object"
122,"truth_Narrative_Frame                                    Strategic Political Maneuvering
truth_Main_Subject                                                          Donald Trump
truth_Stance_toward_main_subject                                              Supportive
truth_Topic_Focus                      Institutional (specifically, political strateg...
bluesky_Narrative_Frame                                     Political Strategy/Personnel
bluesky_Main_Subject                                                        Donald Trump
bluesky_Stance_toward_main_subject                                              Critical
bluesky_Topic_Focus                    Institutional (specifically, political appoint...
mastodon_Narrative_Frame               Political Strategy/Scenario Planning (with ele...
mastodon_Main_Subject                                       Nikki Haley and Donald Trump
mastodon_Stance_toward_main_subject    {'Nikki Haley': 'Critical (presented as a pote...
mastodon_Topic_Focus                   Institutional (RNC strategy), Political (elect...
dtype: object"
123,"truth_Narrative_Frame                                    Media Representation/Visibility
truth_Main_Subject                                                          Donald Trump
truth_Stance_toward_main_subject                                              Supportive
truth_Topic_Focus                      Institutional (specifically media access/cover...
bluesky_Narrative_Frame                                              Media Bias/Coverage
bluesky_Main_Subject                                                        Donald Trump
bluesky_Stance_toward_main_subject                                               Neutral
bluesky_Topic_Focus                                                Institutional (Media)
mastodon_Narrative_Frame                                                   Legal Justice
mastodon_Main_Subject                                                              Trump
mastodon_Stance_toward_main_subject                                              Neutral
mastodon_Topic_Focus                                                               Legal
dtype: object"
124,"truth_Narrative_Frame                                        Economic Impact/Consequence
truth_Main_Subject                                                                 Trump
truth_Stance_toward_main_subject       Critical (indirectly - through highlighting ne...
truth_Topic_Focus                                                 Institutional/Economic
bluesky_Narrative_Frame                                        Media Bias/Deconstruction
bluesky_Main_Subject                                                        Donald Trump
bluesky_Stance_toward_main_subject                                              Critical
bluesky_Topic_Focus                                               Institutional/Cultural
mastodon_Narrative_Frame                                Economic Impact/Business Climate
mastodon_Main_Subject                                                       Donald Trump
mastodon_Stance_toward_main_subject    Critical (indirectly - the quote suggests a ne...
mastodon_Topic_Focus                   Institutional (specifically, the impact of a l...
dtype: object"
125,"truth_Narrative_Frame                  Legal Justice
truth_Main_Subject                             Trump
truth_Stance_toward_main_subject          Supportive
truth_Topic_Focus                              Legal
bluesky_Narrative_Frame                Legal Justice
bluesky_Main_Subject                    Donald Trump
bluesky_Stance_toward_main_subject           Neutral
bluesky_Topic_Focus                            Legal
mastodon_Narrative_Frame               Legal Justice
mastodon_Main_Subject                   Donald Trump
mastodon_Stance_toward_main_subject          Neutral
mastodon_Topic_Focus                           Legal
dtype: object"
127,"truth_Narrative_Frame                                              Persecution/Martyrdom
truth_Main_Subject                                                          Donald Trump
truth_Stance_toward_main_subject                                              Supportive
truth_Topic_Focus                      Legal/Political (framing of legal actions as p...
bluesky_Narrative_Frame                         Persecution/Martyrdom & Moral Bankruptcy
bluesky_Main_Subject                                                        Donald Trump
bluesky_Stance_toward_main_subject                                              Critical
bluesky_Topic_Focus                     Legal & Cultural (with personal attack elements)
mastodon_Narrative_Frame                                 Media Bias / Political Strategy
mastodon_Main_Subject                                 Trump & the Republican Party (GOP)
mastodon_Stance_toward_main_subject                                             Critical
mastodon_Topic_Focus                   Political / Institutional (specifically, the p...
dtype: object"
128,"truth_Narrative_Frame                                             Persecution/Patriotism
truth_Main_Subject                                                                 Trump
truth_Stance_toward_main_subject                                              Supportive
truth_Topic_Focus                      Institutional (framing legal/political standin...
bluesky_Narrative_Frame                                  Patriotism & Ideological Purity
bluesky_Main_Subject                                                               Trump
bluesky_Stance_toward_main_subject                                              Critical
bluesky_Topic_Focus                      Ideological/Cultural; Personal Attack (implied)
mastodon_Narrative_Frame               Persecution/Moral condemnation & Systemic thre...
mastodon_Main_Subject                                                              Trump
mastodon_Stance_toward_main_subject                                      Highly Critical
mastodon_Topic_Focus                   Political/Ideological - framing support as ind...
dtype: object"
129,"truth_Narrative_Frame                             Political Accountability/Schadenfreude
truth_Main_Subject                                        Hillary Clinton & Donald Trump
truth_Stance_toward_main_subject       {'Hillary Clinton': 'Supportive', 'Donald Trum...
truth_Topic_Focus                      Political/Media - Commentary on a recent event...
bluesky_Narrative_Frame                Legal Justice/Accountability & Political Retri...
bluesky_Main_Subject                                                        Donald Trump
bluesky_Stance_toward_main_subject                                              Critical
bluesky_Topic_Focus                                                                Legal
mastodon_Narrative_Frame                           Media Bias & Political Accountability
mastodon_Main_Subject                                     Hillary Clinton & Donald Trump
mastodon_Stance_toward_main_subject    {'Hillary Clinton': 'Supportive', 'Donald Trum...
mastodon_Topic_Focus                                          Political/Media Commentary
dtype: object"
130,"truth_Narrative_Frame                                             Persecution/Witch Hunt
truth_Main_Subject                                                          Donald Trump
truth_Stance_toward_main_subject                                              Supportive
truth_Topic_Focus                                                        Legal/Political
bluesky_Narrative_Frame                       Witch Hunt/Double Standard & Legal Justice
bluesky_Main_Subject                                         Donald Trump & Hunter Biden
bluesky_Stance_toward_main_subject     {'Donald Trump': 'Highly Critical', 'Hunter Bi...
bluesky_Topic_Focus                    Legal/Political & Institutional (specifically,...
mastodon_Narrative_Frame                                      Legal Justice & Corruption
mastodon_Main_Subject                                                       Donald Trump
mastodon_Stance_toward_main_subject                                             Critical
mastodon_Topic_Focus                                                               Legal
dtype: object"
132,"truth_Narrative_Frame                          Media Bias/Scrutiny & Political Alignment
truth_Main_Subject                                                         Aaron Rodgers
truth_Stance_toward_main_subject       Neutral/Observational (with potential for crit...
truth_Topic_Focus                                             Cultural/Media & Political
bluesky_Narrative_Frame                                 Media Bias/Celebrity Endorsement
bluesky_Main_Subject                                        Aaron Rodgers & Donald Trump
bluesky_Stance_toward_main_subject     {'Aaron Rodgers': 'Neutral', 'Donald Trump': '...
bluesky_Topic_Focus                    Institutional (relationship between celebrity ...
mastodon_Narrative_Frame                                Media Bias/Celebrity Endorsement
mastodon_Main_Subject                                       Aaron Rodgers & Donald Trump
mastodon_Stance_toward_main_subject    {'Aaron Rodgers': 'Neutral/Supportive (implici...
mastodon_Topic_Focus                                            Cultural/Media Relations
dtype: object"
134,"truth_Narrative_Frame                               Persecution & Historical Parallelism
truth_Main_Subject                                                                 Trump
truth_Stance_toward_main_subject                                              Supportive
truth_Topic_Focus                      Legal & Institutional (framing legal challenge...
bluesky_Narrative_Frame                Comparison/Analogy (with elements of ridicule/...
bluesky_Main_Subject                                                               Trump
bluesky_Stance_toward_main_subject              Critical (through satire and comparison)
bluesky_Topic_Focus                    Cultural/Ideological (drawing parallels betwee...
mastodon_Narrative_Frame                        Moral Equivalence/Historical Revisionism
mastodon_Main_Subject                                                              Trump
mastodon_Stance_toward_main_subject    Supportive (indirectly - by associating him wi...
mastodon_Topic_Focus                                                   Cultural/Symbolic
dtype: object"
136,"truth_Narrative_Frame                                                         Media Bias
truth_Main_Subject                                                                 Trump
truth_Stance_toward_main_subject                                                Critical
truth_Topic_Focus                      Institutional (specifically the media and lega...
bluesky_Narrative_Frame                               Legal Justice / Financial Pressure
bluesky_Main_Subject                                                        Donald Trump
bluesky_Stance_toward_main_subject     Critical (implies potential financial pressure...
bluesky_Topic_Focus                                                                Legal
mastodon_Narrative_Frame                                Legal Justice/Financial Scrutiny
mastodon_Main_Subject                                                       Donald Trump
mastodon_Stance_toward_main_subject                                             Critical
mastodon_Topic_Focus                                                               Legal
dtype: object"
138,"truth_Narrative_Frame                                           Corruption
truth_Main_Subject                     FBI and DOJ (Department of Justice)
truth_Stance_toward_main_subject                                  Critical
truth_Topic_Focus                                            Institutional
bluesky_Narrative_Frame                                         Corruption
bluesky_Main_Subject                                          Donald Trump
bluesky_Stance_toward_main_subject                                Critical
bluesky_Topic_Focus                                                  Legal
mastodon_Narrative_Frame                                        Corruption
mastodon_Main_Subject                                         Donald Trump
mastodon_Stance_toward_main_subject                               Critical
mastodon_Topic_Focus                                                 Legal
dtype: object"
139,"truth_Narrative_Frame                                                        Persecution
truth_Main_Subject                                                          Donald Trump
truth_Stance_toward_main_subject                                              Supportive
truth_Topic_Focus                                                    Legal/Institutional
bluesky_Narrative_Frame                          Persecution & Hypocrisy/Double Standard
bluesky_Main_Subject                                                               Trump
bluesky_Stance_toward_main_subject                                              Critical
bluesky_Topic_Focus                                      Legal & Political/Institutional
mastodon_Narrative_Frame               Persecution & Victimhood (with elements of Med...
mastodon_Main_Subject                                                       Donald Trump
mastodon_Stance_toward_main_subject                                             Critical
mastodon_Topic_Focus                   Cultural/Political (with legal undertones) - T...
dtype: object"
140,"truth_Narrative_Frame                     Legal Justice & Conspiracy/Pattern Recognition
truth_Main_Subject                                                                 Trump
truth_Stance_toward_main_subject       Critical (implies manipulation/rigging of the ...
truth_Topic_Focus                                                                  Legal
bluesky_Narrative_Frame                                            Legal Justice/Scandal
bluesky_Main_Subject                                                        Donald Trump
bluesky_Stance_toward_main_subject                                              Critical
bluesky_Topic_Focus                                                                Legal
mastodon_Narrative_Frame                                      Legal Justice/Transparency
mastodon_Main_Subject                                                              Trump
mastodon_Stance_toward_main_subject    Neutral (presents information without explicit...
mastodon_Topic_Focus                                                               Legal
dtype: object"
141,"truth_Narrative_Frame                                                Persecution/Defense
truth_Main_Subject                                                          Donald Trump
truth_Stance_toward_main_subject                                              Supportive
truth_Topic_Focus                      Institutional (specifically, legal proceedings...
mastodon_Narrative_Frame                                           Celebrity/Association
mastodon_Main_Subject                                                       Donald Trump
mastodon_Stance_toward_main_subject                                           Supportive
mastodon_Topic_Focus                                                            Personal
dtype: object"
143,"truth_Narrative_Frame                             Legal Justice & Political Consequences
truth_Main_Subject                                                          Donald Trump
truth_Stance_toward_main_subject       Critical (indirectly, through reporting Murkow...
truth_Topic_Focus                                                      Legal & Political
bluesky_Narrative_Frame                                   Political Strategy/Opportunity
bluesky_Main_Subject                                                        Donald Trump
bluesky_Stance_toward_main_subject                                              Critical
bluesky_Topic_Focus                                              Institutional/Political
mastodon_Narrative_Frame                                  Political Strategy & Criticism
mastodon_Main_Subject                                                       Donald Trump
mastodon_Stance_toward_main_subject                                             Critical
mastodon_Topic_Focus                                                  Political & Policy
dtype: object"
144,"truth_Narrative_Frame                                         Media Bias / Legal Justice
truth_Main_Subject                                                             Joe Biden
truth_Stance_toward_main_subject       Neutral (presenting a statement, but the frami...
truth_Topic_Focus                                                                  Legal
bluesky_Narrative_Frame                                      Media Bias/Political Satire
bluesky_Main_Subject                                                           Joe Biden
bluesky_Stance_toward_main_subject                     Critical (through satire/mockery)
bluesky_Topic_Focus                    Political/Institutional (focus on power dynami...
mastodon_Narrative_Frame                              Legal Justice & Political Strategy
mastodon_Main_Subject                                                          Joe Biden
mastodon_Stance_toward_main_subject                                    Neutral/Defensive
mastodon_Topic_Focus                                                   Legal & Political
dtype: object"
146,"truth_Narrative_Frame                  Cultural Conflict/Persecution (framing demonst...
truth_Main_Subject                     Progressive Activists/Hamas Sympathizers (thou...
truth_Stance_toward_main_subject       Critical (negative portrayal, using loaded lan...
truth_Topic_Focus                      Cultural/Institutional (focus on actions withi...
bluesky_Narrative_Frame                Conflict & Accusation (linking protest with te...
bluesky_Main_Subject                                                           Joe Biden
bluesky_Stance_toward_main_subject     Critical (implicitly, by associating protests ...
bluesky_Topic_Focus                    Political/Institutional (connecting protest ac...
mastodon_Narrative_Frame                                          Media Bias & Terrorism
mastodon_Main_Subject                  Media (implicitly, specifically referring to r...
mastodon_Stance_toward_main_subject                                             Critical
mastodon_Topic_Focus                   Institutional (specifically media reporting) &...
dtype: object"
147,"truth_Narrative_Frame                                 Hero Worship/Celebrity Endorsement
truth_Main_Subject                                                          Donald Trump
truth_Stance_toward_main_subject                                              Supportive
truth_Topic_Focus                                                     Personal/Celebrity
bluesky_Narrative_Frame                                           Accountability/Justice
bluesky_Main_Subject                                                        Donald Trump
bluesky_Stance_toward_main_subject     Unclear (Awaiting further content to determine...
bluesky_Topic_Focus                    Unclear (Dependent on the content of the'messa...
mastodon_Narrative_Frame                                    Celebrity/Leadership Persona
mastodon_Main_Subject                                                       Donald Trump
mastodon_Stance_toward_main_subject                                           Supportive
mastodon_Topic_Focus                                                Personal/Promotional
dtype: object"
148,"truth_Narrative_Frame                                    Positive Image/Public Relations
truth_Main_Subject                                                          Donald Trump
truth_Stance_toward_main_subject                                              Supportive
truth_Topic_Focus                      Institutional/Political (Focus on demonstratin...
bluesky_Narrative_Frame                               Systemic Inequality / Exploitation
bluesky_Main_Subject                                                        Donald Trump
bluesky_Stance_toward_main_subject                                              Critical
bluesky_Topic_Focus                    Institutional / Legal (regarding use of space ...
mastodon_Narrative_Frame                                        Economic Impact/Betrayal
mastodon_Main_Subject                                                       Donald Trump
mastodon_Stance_toward_main_subject                                             Critical
mastodon_Topic_Focus                                                   Economic/Personal
dtype: object"
151,"truth_Narrative_Frame                                 Election Interference & Media Bias
truth_Main_Subject                                                                 Trump
truth_Stance_toward_main_subject                                              Supportive
truth_Topic_Focus                                                  Legal & Institutional
bluesky_Narrative_Frame                                       Legal Justice & Media Bias
bluesky_Main_Subject                                                        Donald Trump
bluesky_Stance_toward_main_subject                                              Critical
bluesky_Topic_Focus                                                Legal & Institutional
mastodon_Narrative_Frame                  Media Bias & Potential Legal/Ethical Violation
mastodon_Main_Subject                                                       Donald Trump
mastodon_Stance_toward_main_subject    Critical (though indirectly; the post critique...
mastodon_Topic_Focus                   Legal/Institutional (specifically, the legalit...
dtype: object"
152,"truth_Narrative_Frame                                    Persecution/Political Targeting
truth_Main_Subject                                                          Donald Trump
truth_Stance_toward_main_subject                                              Supportive
truth_Topic_Focus                      Institutional (specifically, perceived bias wi...
bluesky_Narrative_Frame                                     Political Loyalty/Disloyalty
bluesky_Main_Subject                                                          Brian Kemp
bluesky_Stance_toward_main_subject                                               Neutral
bluesky_Topic_Focus                                              Institutional/Political
mastodon_Narrative_Frame                                      Political Loyalty/Betrayal
mastodon_Main_Subject                                          Donald Trump & Brian Kemp
mastodon_Stance_toward_Main_Subject    {'Donald Trump': 'Critical (implied)', 'Brian ...
mastodon_Topic_Focus                                             Political/Institutional
dtype: object"
153,"truth_Narrative_Frame                       Strategic Political Forecasting / Succession
truth_Main_Subject                                                             Joe Biden
truth_Stance_toward_main_subject                                                Critical
truth_Topic_Focus                      Institutional (specifically, the Democratic Pa...
bluesky_Narrative_Frame                                    Competence/Fitness for Office
bluesky_Main_Subject                                                           Joe Biden
bluesky_Stance_toward_main_subject                                              Critical
bluesky_Topic_Focus                    Legal/Institutional (specifically, suggesting ...
mastodon_Narrative_Frame                                       Media Bias/Accountability
mastodon_Main_Subject                                         Nikki Haley & Donald Trump
mastodon_Stance_toward_main_subject    {'Nikki Haley': 'Supportive (indirectly, by pr...
mastodon_Topic_Focus                   Political/Institutional (focus on candidate fi...
dtype: object"
154,"truth_Narrative_Frame                                           Strategic Mastery/Genius
truth_Main_Subject                                                          Donald Trump
truth_Stance_toward_main_subject                                              Supportive
truth_Topic_Focus                      Personal/Character (portraying intelligence an...
bluesky_Narrative_Frame                Legal Justice / Persecution (framed as manipul...
bluesky_Main_Subject                                                               Trump
bluesky_Stance_toward_main_subject     Supportive (using humor and exaggeration to po...
bluesky_Topic_Focus                    Legal (specifically referencing the 34 convict...
mastodon_Narrative_Frame                                    Conspiracy/Strategic Mastery
mastodon_Main_Subject                                                              Trump
mastodon_Stance_toward_main_subject                                           Supportive
mastodon_Topic_Focus                   Legal/Institutional (referencing 'TrumpConvict...
dtype: object"
155,"truth_Narrative_Frame                                      Strategic/Political Advantage
truth_Main_Subject                                                          Donald Trump
truth_Stance_toward_main_subject                                                Critical
truth_Topic_Focus                      Institutional (specifically, debate strategy a...
bluesky_Narrative_Frame                Media Bias/Persecution (framed as fear and neg...
bluesky_Main_Subject                                                        Donald Trump
bluesky_Stance_toward_main_subject     Critical (through implication of weakness and ...
bluesky_Topic_Focus                    Institutional (specifically, the debate format...
mastodon_Narrative_Frame                                      Legal Justice & Corruption
mastodon_Main_Subject                                                       Donald Trump
mastodon_Stance_toward_main_subject                                             Critical
mastodon_Topic_Focus                                               Legal & Institutional
dtype: object"
156,"truth_Narrative_Frame                                     Economic hardship/Blame
truth_Main_Subject                                                      Joe Biden
truth_Stance_toward_main_subject                                         Critical
truth_Topic_Focus                      Economic (specifically, cost of groceries)
bluesky_Narrative_Frame                                        Economic Criticism
bluesky_Main_Subject                                                    Joe Biden
bluesky_Stance_toward_main_subject                                       Critical
bluesky_Topic_Focus                                                      Economic
mastodon_Narrative_Frame                         Fear/Warning & Economic Critique
mastodon_Main_Subject                                                Donald Trump
mastodon_Stance_toward_main_subject                                      Critical
mastodon_Topic_Focus                            Economic & Political Consequences
dtype: object"
157,"truth_Narrative_Frame                                          Media Bias/Disinformation
truth_Main_Subject                                                          Donald Trump
truth_Stance_toward_main_subject                                              Supportive
truth_Topic_Focus                      Institutional (specifically, FEC filings and c...
bluesky_Narrative_Frame                                       Legal Justice / Media Bias
bluesky_Main_Subject                                                        Donald Trump
bluesky_Stance_toward_main_subject     Critical (Implied - the headline suggests deni...
bluesky_Topic_Focus                                                                Legal
mastodon_Narrative_Frame                          Legal Justice / Corruption (potential)
mastodon_Main_Subject                                                       Donald Trump
mastodon_Stance_toward_main_subject    Neutral (reporting a denial, but framing it wi...
mastodon_Topic_Focus                                                               Legal
dtype: object"
158,"truth_Narrative_Frame                                             Accountability/Failure
truth_Main_Subject                                                             Joe Biden
truth_Stance_toward_main_subject                                                Critical
truth_Topic_Focus                      Institutional/Policy (specifically foreign pol...
bluesky_Narrative_Frame                                             Accountability/Blame
bluesky_Main_Subject                                                           Joe Biden
bluesky_Stance_toward_main_subject                                              Critical
bluesky_Topic_Focus                    Institutional/Political (specifically, foreign...
mastodon_Narrative_Frame                                                      Media Bias
mastodon_Main_Subject                                                       Donald Trump
mastodon_Stance_toward_main_subject                                             Critical
mastodon_Topic_Focus                       Institutional (specifically, media reporting)
dtype: object"
159,"truth_Narrative_Frame                  Political Conflict / Challenge to Legitimacy
truth_Main_Subject                                                     Donald Trump
truth_Stance_toward_main_subject                                           Critical
truth_Topic_Focus                                         Institutional / Political
bluesky_Narrative_Frame                       Political Disagreement/Power Dynamics
bluesky_Main_Subject                                                   Donald Trump
bluesky_Stance_toward_main_subject                                         Critical
bluesky_Topic_Focus                                         Institutional/Political
mastodon_Narrative_Frame                      Political Disagreement/Power Dynamics
mastodon_Main_Subject                                                  Donald Trump
mastodon_Stance_toward_main_subject                                        Critical
mastodon_Topic_Focus                                        Institutional/Political
dtype: object"
160,"truth_Narrative_Frame                             Persecution/Victimhood & Law and Order
truth_Main_Subject                                                          Donald Trump
truth_Stance_toward_main_subject       Supportive (portrayed as empathetic and concer...
truth_Topic_Focus                      Legal (related to a murder case) & Institution...
bluesky_Narrative_Frame                       Emotional Appeal/Exploitation & Media Bias
bluesky_Main_Subject                                                               Trump
bluesky_Stance_toward_main_subject                                              Critical
bluesky_Topic_Focus                    Institutional/Political (debate strategy) & Pe...
mastodon_Narrative_Frame                                   Media Bias/Political Strategy
mastodon_Main_Subject                                                       Donald Trump
mastodon_Stance_toward_main_subject    Neutral/Potentially Critical (depending on imp...
mastodon_Topic_Focus                                                 Political/Strategic
dtype: object"
161,"truth_Narrative_Frame                            Media Bias & Personal Attack
truth_Main_Subject                                               Donald Trump
truth_Stance_toward_main_subject                                     Critical
truth_Topic_Focus                      Personal Attack & Media Representation
bluesky_Narrative_Frame                          Media Bias & Personal Attack
bluesky_Main_Subject                                                    Trump
bluesky_Stance_toward_main_subject                                   Critical
bluesky_Topic_Focus                                           Personal Attack
mastodon_Narrative_Frame                          Personal Attack/Degradation
mastodon_Main_Subject                                                   Trump
mastodon_Stance_toward_main_subject                                  Critical
mastodon_Topic_Focus                                          Personal Attack
dtype: object"
162,"truth_Narrative_Frame                                        Legal Justice & Persecution
truth_Main_Subject                                              Joe Biden & Donald Trump
truth_Stance_toward_main_subject       {'Joe Biden': 'Critical', 'Donald Trump': 'Sup...
truth_Topic_Focus                                                  Legal & Institutional
bluesky_Narrative_Frame                         Legal Justice & Political Interpretation
bluesky_Main_Subject                                                        Donald Trump
bluesky_Stance_toward_main_subject                                              Critical
bluesky_Topic_Focus                                                    Legal & Political
mastodon_Narrative_Frame                            Legal Justice & Systemic Uncertainty
mastodon_Main_Subject                                       Supreme Court & Donald Trump
mastodon_Stance_toward_main_subject                                Neutral/Observational
mastodon_Topic_Focus                   Institutional (Judicial System & Supreme Court...
dtype: object"
163,"truth_Narrative_Frame                                 Persecution & Political Conspiracy
truth_Main_Subject                                                          Nancy Pelosi
truth_Stance_toward_main_subject                                         Highly Critical
truth_Topic_Focus                      Political/Institutional - Accusation of Conspi...
bluesky_Narrative_Frame                        Persecution/Political Attack & Media Bias
bluesky_Main_Subject                                                        Donald Trump
bluesky_Stance_toward_main_subject                                       Highly Critical
bluesky_Topic_Focus                    Legal/Political (allegation of assassination p...
mastodon_Narrative_Frame                 Persecution/False Accusation & Political Attack
mastodon_Main_Subject                                                       Donald Trump
mastodon_Stance_toward_main_subject                                             Critical
mastodon_Topic_Focus                   Political/Legal (referencing 1/6 and impeachme...
dtype: object"
166,"truth_Narrative_Frame                                                         Media Bias
truth_Main_Subject                                                                 Trump
truth_Stance_toward_main_subject                                                Critical
truth_Topic_Focus                                                    Media/Institutional
bluesky_Narrative_Frame                                     Media Bias & Personal Attack
bluesky_Main_Subject                                                        Donald Trump
bluesky_Stance_toward_main_subject                                              Critical
bluesky_Topic_Focus                                                     Cultural & Media
mastodon_Narrative_Frame               Legal Justice/Persecution (with elements of Me...
mastodon_Main_Subject                                                       Donald Trump
mastodon_Stance_toward_main_subject                                             Critical
mastodon_Topic_Focus                                                 Legal/Institutional
dtype: object"
167,"truth_Narrative_Frame                                         Foreign Policy/Geopolitics
truth_Main_Subject                                                          Donald Trump
truth_Stance_toward_main_subject                                              Supportive
truth_Topic_Focus                      Institutional (specifically, foreign policy & ...
bluesky_Narrative_Frame                                 Foreign Policy/National Security
bluesky_Main_Subject                                                        Donald Trump
bluesky_Stance_toward_main_subject                                            Supportive
bluesky_Topic_Focus                    Institutional (specifically, the role and impa...
mastodon_Narrative_Frame                                        Foreign Policy/Diplomacy
mastodon_Main_Subject                                                              Trump
mastodon_Stance_toward_main_subject                      Neutral (reporting a statement)
mastodon_Topic_Focus                             Institutional (foreign policy approach)
dtype: object"
170,"truth_Narrative_Frame                                           Moral/Religious Judgment
truth_Main_Subject                                                                 Trump
truth_Stance_toward_main_subject                                      Extremely Critical
truth_Topic_Focus                                         Personal Attack/Moral Judgment
bluesky_Narrative_Frame                Persecution (framed as a spiritual battle/iden...
bluesky_Main_Subject                                                        Donald Trump
bluesky_Stance_toward_main_subject           Highly Critical (portrayed as 'Antichrist')
bluesky_Topic_Focus                    Cultural/Ideological (addresses beliefs and pe...
mastodon_Narrative_Frame                                Religious/Prophecy & Moral Panic
mastodon_Main_Subject                                                       Donald Trump
mastodon_Stance_toward_main_subject                                      Highly Critical
mastodon_Topic_Focus                       Cultural/Ideological (with religious framing)
dtype: object"
171,"truth_Narrative_Frame                                                         Media Bias
truth_Main_Subject                                                                 Trump
truth_Stance_toward_main_subject       Critical (of Fox News, implicitly supportive o...
truth_Topic_Focus                      Institutional (specifically, the role and perc...
bluesky_Narrative_Frame                                 Media Bias & Systemic Inequality
bluesky_Main_Subject                           Trump (and, by extension, his supporters)
bluesky_Stance_toward_main_subject                                              Critical
bluesky_Topic_Focus                    Institutional (specifically media influence) a...
mastodon_Narrative_Frame                                                      Media Bias
mastodon_Main_Subject                                                       Donald Trump
mastodon_Stance_toward_main_subject                                           Supportive
mastodon_Topic_Focus                                                       Institutional
dtype: object"
172,"truth_Narrative_Frame                                 Persecution/Witch Hunt
truth_Main_Subject                                                     Trump
truth_Stance_toward_main_subject                                  Supportive
truth_Topic_Focus                                            Legal/Political
bluesky_Narrative_Frame                                        Threat/Danger
bluesky_Main_Subject                                            Trump / MAGA
bluesky_Stance_toward_main_subject                                  Critical
bluesky_Topic_Focus                                  Institutional/Political
mastodon_Narrative_Frame               Potential Systemic Change/Destruction
mastodon_Main_Subject                                                  Trump
mastodon_Stance_toward_main_subject                                 Critical
mastodon_Topic_Focus                                           Institutional
dtype: object"
